symbol,asOfDate,periodType,BasicAverageShares,BasicEPS,CostOfRevenue,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EarningsFromEquityInterestNetOfTax,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherGandA,OtherIncomeExpense,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,ResearchAndDevelopment,SellingAndMarketingExpense,SellingGeneralAndAdministration,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
AAPL34.SA,2020-03-31,3M,174404040000.0,0.0645,35943000000.0,176187640000.0,0.06375,11249000000.0,13892000000.0,,,,22370000000.0,757000000.0,757000000.0,1049000000.0,1049000000.0,11249000000.0,11249000000.0,11249000000.0,11249000000.0,11249000000.0,11249000000.0,292000000.0,292000000.0,16678000000.0,11249000000.0,9517000000.0,12853000000.0,58313000000.0,,-10000000.0,-10000000.0,,13135000000.0,35943000000.0,2786000000.0,4565000000.0,,4952000000.0,0.0,1886000000.0,0.144,45460000000.0,12853000000.0,58313000000.0,,
AAPL34.SA,2020-06-30,3M,172502920000.0,0.06525,37005000000.0,174191520000.0,0.0645,11253000000.0,13834000000.0,,,,22680000000.0,697000000.0,697000000.0,901000000.0,901000000.0,11253000000.0,11253000000.0,11253000000.0,11253000000.0,11253000000.0,11253000000.0,204000000.0,204000000.0,16586000000.0,11253000000.0,9589000000.0,13091000000.0,59685000000.0,,-158000000.0,-158000000.0,,13137000000.0,37005000000.0,2752000000.0,4758000000.0,,4831000000.0,0.0,1884000000.0,0.143,46594000000.0,13091000000.0,59685000000.0,,
AAPL34.SA,2020-09-30,3M,170576220000.0,0.074,40009000000.0,172565210000.0,0.073,12673000000.0,15535000000.0,,,,24689000000.0,634000000.0,634000000.0,768000000.0,768000000.0,12673000000.0,12673000000.0,12673000000.0,12673000000.0,12673000000.0,12673000000.0,134000000.0,134000000.0,18237000000.0,12673000000.0,9914000000.0,14775000000.0,64698000000.0,,-8000000.0,-8000000.0,,14901000000.0,40009000000.0,2702000000.0,4978000000.0,,4936000000.0,0.0,2228000000.0,0.14952,49923000000.0,14775000000.0,64698000000.0,,
AAPL34.SA,2020-12-31,3M,169351190000.0,0.17,67111000000.0,171136880000.0,0.168,28755000000.0,34217000000.0,,,,44328000000.0,638000000.0,638000000.0,747000000.0,747000000.0,28755000000.0,28755000000.0,28755000000.0,28755000000.0,28755000000.0,28755000000.0,109000000.0,109000000.0,36883000000.0,28755000000.0,10794000000.0,33534000000.0,111439000000.0,,-64000000.0,-64000000.0,,33579000000.0,67111000000.0,2666000000.0,5163000000.0,,5631000000.0,0.0,4824000000.0,0.144,77905000000.0,33534000000.0,111439000000.0,,
AAPL34.SA,2021-03-31,3M,167534760000.0,0.141,51505000000.0,169291570000.0,0.14,23630000000.0,28681000000.0,,,,38079000000.0,670000000.0,670000000.0,718000000.0,718000000.0,23630000000.0,23630000000.0,23630000000.0,23630000000.0,23630000000.0,23630000000.0,48000000.0,48000000.0,31478000000.0,23630000000.0,10576000000.0,27503000000.0,89584000000.0,,460000000.0,460000000.0,,28011000000.0,51505000000.0,2797000000.0,5262000000.0,,5314000000.0,0.0,4381000000.0,0.156,62081000000.0,27503000000.0,89584000000.0,,
AMZO34.SA,2020-03-31,3M,39092998772.0,0.06484,55788000000.0,39720998753.0,0.063822,2535000000.0,3785000000.0,-104000000.0,-406000000.0,1452000000.0,19664000000.0,402000000.0,402000000.0,202000000.0,202000000.0,2535000000.0,2535000000.0,2535000000.0,2535000000.0,2535000000.0,2535000000.0,-200000000.0,-200000000.0,9147000000.0,2535000000.0,15675000000.0,3989000000.0,75452000000.0,1452000000.0,-406000000.0,-406000000.0,70000000.0,3383000000.0,55788000000.0,5362000000.0,9325000000.0,4828000000.0,6280000000.0,0.0,744000000.0,0.219923,71463000000.0,3989000000.0,75452000000.0,-406000000.0,-406000000.0
AMZO34.SA,2020-06-30,3M,39249998768.0,0.133758,66466000000.0,39956498745.0,0.13121,5243000000.0,6624000000.0,6000000.0,,1580000000.0,22446000000.0,403000000.0,403000000.0,135000000.0,135000000.0,5243000000.0,5243000000.0,5243000000.0,5243000000.0,5243000000.0,5243000000.0,-268000000.0,-268000000.0,12372000000.0,5243000000.0,16603000000.0,5843000000.0,88912000000.0,1580000000.0,646000000.0,646000000.0,290000000.0,6221000000.0,66466000000.0,5748000000.0,10388000000.0,4345000000.0,5925000000.0,0.0,984000000.0,0.158174,83069000000.0,5843000000.0,88912000000.0,,
AMZO34.SA,2020-09-30,3M,39328498765.0,0.160892,71811000000.0,40191998738.0,0.15758,6331000000.0,7237000000.0,91000000.0,,1668000000.0,24334000000.0,428000000.0,428000000.0,118000000.0,118000000.0,6331000000.0,6331000000.0,6331000000.0,6331000000.0,6331000000.0,6331000000.0,-310000000.0,-310000000.0,13760000000.0,6331000000.0,18140000000.0,6194000000.0,96145000000.0,1668000000.0,925000000.0,925000000.0,62000000.0,6809000000.0,71811000000.0,6523000000.0,10976000000.0,5434000000.0,7102000000.0,0.0,569000000.0,0.083566,89951000000.0,6194000000.0,96145000000.0,,
AMZO34.SA,2020-12-31,3M,78813996926.0,0.091592,97758000000.0,80540996859.0,0.089745,7222000000.0,8179000000.0,22000000.0,,1968000000.0,27797000000.0,414000000.0,414000000.0,100000000.0,100000000.0,7222000000.0,7222000000.0,7222000000.0,7222000000.0,7222000000.0,7222000000.0,-314000000.0,-314000000.0,15797000000.0,7222000000.0,20924000000.0,6873000000.0,125555000000.0,1968000000.0,1206000000.0,1206000000.0,-496000000.0,7765000000.0,97758000000.0,7618000000.0,12049000000.0,7403000000.0,9371000000.0,0.0,565000000.0,0.072762,118682000000.0,6873000000.0,125555000000.0,,
AMZO34.SA,2021-03-31,3M,79127996914.0,0.102484,78933000000.0,80540996859.0,0.100573,8107000000.0,10667000000.0,-5000000.0,1673000000.0,1987000000.0,29585000000.0,399000000.0,399000000.0,105000000.0,105000000.0,8107000000.0,8107000000.0,8107000000.0,8107000000.0,8107000000.0,8107000000.0,-294000000.0,-294000000.0,16502000000.0,6785284378.652123,20720000000.0,8865000000.0,108518000000.0,1987000000.0,1697000000.0,24000000.0,38000000.0,10268000000.0,78933000000.0,7508000000.0,12488000000.0,6207000000.0,8194000000.0,351284378.652123,2156000000.0,0.209973,99653000000.0,8865000000.0,108518000000.0,1673000000.0,1673000000.0
MSFT34.SA,2020-03-31,3M,182447998540.0,0.05875,10975000000.0,184199998526.0,0.058333,10752000000.0,13457000000.0,,485000000.0,1273000000.0,24046000000.0,614000000.0,614000000.0,,,10752000000.0,10752000000.0,10752000000.0,10752000000.0,10752000000.0,10752000000.0,-614000000.0,-614000000.0,16090000000.0,10344600000.0,11071000000.0,12975000000.0,35021000000.0,1273000000.0,482000000.0,-3000000.0,,12843000000.0,10975000000.0,3118000000.0,4887000000.0,4911000000.0,6184000000.0,77600000.0,2091000000.0,0.16,22046000000.0,12975000000.0,35021000000.0,485000000.0,485000000.0
MSFT34.SA,2020-06-30,3M,181919998545.0,0.061667,12339000000.0,183599998531.0,0.060833,11202000000.0,14108000000.0,,701000000.0,1656000000.0,25694000000.0,686000000.0,686000000.0,,,11202000000.0,11202000000.0,11202000000.0,11202000000.0,11202000000.0,11202000000.0,-686000000.0,-686000000.0,16911000000.0,10616945462.673223,12287000000.0,13407000000.0,38033000000.0,1656000000.0,701000000.0,0.0,,13422000000.0,12339000000.0,3504000000.0,5214000000.0,5417000000.0,7073000000.0,115945462.673223,2220000000.0,0.1654,24626000000.0,13407000000.0,38033000000.0,701000000.0,701000000.0
MSFT34.SA,2020-09-30,3M,181583998547.0,0.076667,11002000000.0,183287998534.0,0.075833,13893000000.0,16713000000.0,,837000000.0,1119000000.0,26152000000.0,589000000.0,589000000.0,,,13893000000.0,13893000000.0,13893000000.0,13893000000.0,13893000000.0,13893000000.0,-589000000.0,-589000000.0,18521000000.0,13173180000.0,10276000000.0,15876000000.0,37154000000.0,1119000000.0,837000000.0,,,16124000000.0,11002000000.0,2645000000.0,4926000000.0,4231000000.0,5350000000.0,117180000.0,2231000000.0,0.14,21278000000.0,15876000000.0,37154000000.0,837000000.0,837000000.0
MSFT34.SA,2020-12-31,3M,181319998549.0,0.085417,14194000000.0,182783998538.0,0.084583,15463000000.0,18908000000.0,,396000000.0,1139000000.0,28882000000.0,571000000.0,571000000.0,545000000.0,545000000.0,15463000000.0,15463000000.0,15463000000.0,15463000000.0,15463000000.0,15463000000.0,-26000000.0,-26000000.0,21273000000.0,15130360000.0,10985000000.0,17897000000.0,43076000000.0,1139000000.0,466000000.0,70000000.0,,18337000000.0,14194000000.0,2761000000.0,4899000000.0,4947000000.0,6086000000.0,63360000.0,2874000000.0,0.16,25179000000.0,17897000000.0,43076000000.0,396000000.0,396000000.0
MSFT34.SA,2021-03-31,3M,180935998553.0,0.085417,13045000000.0,182327998541.0,0.084583,15457000000.0,17869000000.0,,296000000.0,1327000000.0,28661000000.0,633000000.0,633000000.0,519000000.0,519000000.0,15457000000.0,15457000000.0,15457000000.0,15457000000.0,15457000000.0,15457000000.0,-114000000.0,-114000000.0,20509000000.0,15190600000.0,11613000000.0,17048000000.0,41706000000.0,1327000000.0,302000000.0,6000000.0,,17236000000.0,13045000000.0,2936000000.0,5204000000.0,5082000000.0,6409000000.0,29600000.0,1779000000.0,0.1,24658000000.0,17048000000.0,41706000000.0,296000000.0,296000000.0
